K,q,eps,estimate
3,3,0.4,2.28E+02
3,3,0.6,2.14E+02
3,3,0.8,2.15E+02
3,6,0.4,1.17E+06
3,6,0.6,1.39E+06
3,6,0.8,1.29E+06
3,9,0.4,9.04E+07
3,9,0.6,8.80E+07
3,9,0.8,1.01E+08
3,12,0.4,1.83E+09
3,12,0.6,1.85E+09
3,12,0.8,1.92E+09
3,15,0.4,1.81E+10
3,15,0.6,1.74E+10
3,15,0.8,1.55E+10
5,3,0.4,5.42E+05
5,3,0.6,7.19E+05
5,3,0.8,8.67E+05
5,6,0.4,2.10E+16
5,6,0.6,2.01E+16
5,6,0.8,1.89E+16
5,9,0.4,7.40E+21
5,9,0.6,6.70E+21
5,9,0.8,5.46E+21
5,12,0.4,2.53E+25
5,12,0.6,2.38E+25
5,12,0.8,3.05E+25
5,15,0.4,1.38E+28
5,15,0.6,1.53E+28
5,15,0.8,1.57E+28
7,3,0.4,3.86E+10
7,3,0.6,3.39E+10
7,3,0.8,3.77E+10
7,6,0.4,3.84E+31
7,6,0.6,4.20E+31
7,6,0.8,2.95E+31
7,9,0.4,1.97E+42
7,9,0.6,3.03E+42
7,9,0.8,3.02E+42
7,12,0.4,5.84E+49
7,12,0.6,4.71E+49
7,12,0.8,4.84E+49
7,15,0.4,1.23E+55
7,15,0.6,1.05E+55
7,15,0.8,1.16E+55
