K,q,eps,n_vertices,num_edges,gibbs_steps_per_sim,simulations_per_factor,Z0,estimate,product_of_ratios,time_seconds
3,3,0.4,9,12,166,300,19683,2.279229394739e+02,1.157968498064e-02,0.8111
3,3,0.6,9,12,157,300,19683,2.138129630385e+02,1.086282391091e-02,0.8354
3,3,0.8,9,12,150,300,19683,2.149206708056e+02,1.091910129582e-02,0.7484
3,6,0.4,9,12,366,300,10077696,1.169981553069e+06,1.160961347781e-01,1.9862
3,6,0.6,9,12,346,300,10077696,1.388161066483e+06,1.377458762879e-01,1.9087
3,6,0.8,9,12,332,300,10077696,1.286905824525e+06,1.276984168330e-01,1.9005
3,9,0.4,9,12,566,300,387420489,9.036745852102e+07,2.332542059256e-01,3.6006
3,9,0.6,9,12,535,300,387420489,8.796559872793e+07,2.270545859745e-01,2.9062
3,9,0.8,9,12,513,300,387420489,1.005931178734e+08,2.596484200747e-01,2.9577
3,12,0.4,9,12,766,300,5159780352,1.833358269284e+09,3.553171151120e-01,4.8401
3,12,0.6,9,12,724,300,5159780352,1.847226076497e+09,3.580047890567e-01,4.3977
3,12,0.8,9,12,694,300,5159780352,1.918763693568e+09,3.718692585090e-01,4.6131
3,15,0.4,9,12,966,300,38443359375,1.814219076850e+10,4.719200159260e-01,6.9593
3,15,0.6,9,12,913,300,38443359375,1.740100592557e+10,4.526400972358e-01,5.7797
3,15,0.8,9,12,875,300,38443359375,1.551507776162e+10,4.035827777244e-01,6.0141
5,3,0.4,25,40,583,300,847288609443,5.423247855120e+05,6.400709031938e-07,10.0041
5,3,0.6,25,40,558,300,847288609443,7.192167338520e+05,8.488450403279e-07,9.2769
5,3,0.8,25,40,540,300,847288609443,8.670686481580e+05,1.023345101651e-06,9.0318
5,6,0.4,25,40,1295,300,28430288029929701376,2.099102547485e+16,7.383331977766e-04,23.0157
5,6,0.6,25,40,1239,300,28430288029929701376,2.005235616820e+16,7.053166730878e-04,22.0616
5,6,0.8,25,40,1200,300,28430288029929701376,1.892276943379e+16,6.655848654741e-04,21.2452
5,9,0.4,25,40,2004,300,717897987691852578422784,7.400757522993e+21,1.030892640720e-02,39.0358
5,9,0.6,25,40,1918,300,717897987691852578422784,6.697397953495e+21,9.329177777790e-03,36.9539
5,9,0.8,25,40,1857,300,717897987691852578422784,5.457841819932e+21,7.602531158334e-03,37.1246
5,12,0.4,25,40,2712,300,953962166440690129601298432,2.533133050525e+25,2.655381040924e-02,57.5157
5,12,0.6,25,40,2595,300,953962166440690129601298432,2.375046095328e+25,2.489664872339e-02,54.6724
5,12,0.8,25,40,2513,300,953962166440690129601298432,3.050109674082e+25,3.197306750080e-02,52.8125
5,15,0.4,25,40,3420,300,252511682940423488901555945472,1.375889742770e+28,5.448816176536e-02,74.7334
5,15,0.6,25,40,3273,300,252511682940423488901555945472,1.527422544715e+28,6.048918319062e-02,69.5633
5,15,0.8,25,40,3169,300,252511682940423488901555945472,1.569687363871e+28,6.216295997050e-02,66.8249
7,3,0.4,49,84,1304,300,239299329230617526140928,3.861969249737e+10,1.613865472233e-13,44.8371
7,3,0.6,49,84,1255,300,239299329230617526140928,3.385941540360e+10,1.414939837586e-13,43.1774
7,3,0.8,49,84,1220,300,239299329230617526140928,3.767201553878e+10,1.574263315318e-13,41.7623
7,6,0.4,49,84,2899,300,134713546244127341498821620149870657536,3.837893362261e+31,2.848929056701e-07,105.6790
7,6,0.6,49,84,2790,300,134713546244127341498821620149870657536,4.201594566738e+31,3.118910223864e-07,100.5157
7,6,0.8,49,84,2712,300,134713546244127341498821620149870657536,2.952114491526e+31,2.191401365217e-07,101.3743
7,9,0.4,49,84,4486,300,57264168970223482719667319168920984977745641472,1.970175569446e+42,3.440503206238e-05,181.4387
7,9,0.6,49,84,4317,300,57264168970223482719667319168920984977745641472,3.034487857501e+42,5.299103980849e-05,171.7887
7,9,0.8,49,84,4198,300,57264168970223482719667319168920984977745641472,3.022721206377e+42,5.278555963938e-05,167.3976
7,12,0.4,49,84,6072,300,75836984583351247017982359120305074044552602275807232,5.841146227046e+49,7.702239559150e-04,258.2091
7,12,0.6,49,84,5844,300,75836984583351247017982359120305074044552602275807232,4.705257142392e+49,6.204435959898e-04,252.1972
7,12,0.8,49,84,5682,300,75836984583351247017982359120305074044552602275807232,4.835062281167e+49,6.375599330236e-04,242.6655
7,15,0.4,49,84,7657,300,4250810001426997179423289517013767960149467179270822428672,1.229621321125e+55,2.892675327085e-03,345.7708
7,15,0.6,49,84,7369,300,4250810001426997179423289517013767960149467179270822428672,1.046586832228e+55,2.462088006467e-03,332.6570
7,15,0.8,49,84,7165,300,4250810001426997179423289517013767960149467179270822428672,1.160841124892e+55,2.730870409409e-03,368.1345
