K,q,epsilon,k_vertices,tilde_k_edges,d,max_simulations_per_factor,max_gibbs_steps_per_simulation,total_max_steps
3,3,0.4,9e+00,1e+01,4e+00,3.499200e+06,1.650379e+02,2.079002e+10
3,6,0.4,9e+00,1e+01,4e+00,3.499200e+06,3.658040e+02,4.608077e+10
3,9,0.4,9e+00,1e+01,4e+00,3.499200e+06,5.656962e+02,7.126143e+10
3,12,0.4,9e+00,1e+01,4e+00,3.499200e+06,7.654016e+02,9.641855e+10
3,15,0.4,9e+00,1e+01,4e+00,3.499200e+06,9.650363e+02,1.215668e+11
7,3,0.4,5e+01,8e+01,4e+00,5.647152e+08,1.303675e+03,1.442962e+14
7,6,0.4,5e+01,8e+01,4e+00,5.647152e+08,2.898020e+03,3.207650e+14
7,9,0.4,5e+01,8e+01,4e+00,5.647152e+08,4.485426e+03,4.964657e+14
7,12,0.4,5e+01,8e+01,4e+00,5.647152e+08,6.071347e+03,6.720021e+14
7,15,0.4,5e+01,8e+01,4e+00,5.647152e+08,7.656708e+03,8.474764e+14
11,3,0.4,1e+02,2e+02,4e+00,8.503493e+09,3.757340e+03,1.546405e+16
11,6,0.4,1e+02,2e+02,4e+00,8.503493e+09,8.354729e+03,3.438548e+16
11,9,0.4,1e+02,2e+02,4e+00,8.503493e+09,1.293211e+04,5.322455e+16
11,12,0.4,1e+02,2e+02,4e+00,8.503493e+09,1.750520e+04,7.204600e+16
11,15,0.4,1e+02,2e+02,4e+00,8.503493e+09,2.207669e+04,9.086080e+16
15,3,0.4,2e+02,4e+02,4e+00,5.467500e+10,7.674373e+03,3.776367e+17
15,6,0.4,2e+02,4e+02,4e+00,5.467500e+10,1.706582e+04,8.397664e+17
15,9,0.4,2e+02,4e+02,4e+00,5.467500e+10,2.641639e+04,1.299885e+18
15,12,0.4,2e+02,4e+02,4e+00,5.467500e+10,3.575822e+04,1.759573e+18
15,15,0.4,2e+02,4e+02,4e+00,5.467500e+10,4.509675e+04,2.219098e+18
20,3,0.4,4e+02,8e+02,4e+00,3.072000e+11,1.477777e+04,7.263569e+18
20,6,0.4,4e+02,8e+02,4e+00,3.072000e+11,3.286307e+04,1.615286e+19
20,9,0.4,4e+02,8e+02,4e+00,3.072000e+11,5.086965e+04,2.500345e+19
20,12,0.4,4e+02,8e+02,4e+00,3.072000e+11,6.885940e+04,3.384577e+19
20,15,0.4,4e+02,8e+02,4e+00,3.072000e+11,8.684279e+04,4.268497e+19
